,Unnamed: 0,id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
86,86,86,Physical Attack,2014,1/30/2014,Unknown,Tucson Electric Power,Arizona,WECC,"vandalism, physical",15:00:00,,,
87,87,87,Physical Attack,2014,1/29/2014,1/29/2014,Madison Gas and Electric,Unknown,MRO,"vandalism, physical",16:00:00,16:44:00,,
88,88,88,Severe Weather,2014,1/27/2014,1/28/2014,PJM Interconnection,Maryland,RFC,"severe weather, cold",14:20:00,21:00:00,,
89,89,89,Physical Attack,2014,1/26/2014,Unknown,Public Service Electric &Gas,New Jersey,RFC,"vandalism, physical",23:00:00,,,
90,90,90,Physical Attack,2014,1/26/2014,1/27/2014,PacifiCorp,Oregon,WECC,"vandalism, physical",21:00:00,11:00:00,,
91,91,91,Physical Attack,2014,1/25/2014,1/25/2014,Madison Gas and Electric,Wisconsin,MRO,"vandalism, physical",10:00:00,11:00:00,,
92,92,92,Physical Attack,2014,1/24/2014,1/24/2014,Madison Gas and Electric,Wisconsin,MRO,"vandalism, physical",15:30:00,17:00:00,,
93,93,93,Fuel Supply,2014,1/24/2014,4/9/2014,We Energies,Wisconsin,RFC,"fuel supply emergency, coal",00:00:00,11:53:00,,
94,94,94,Physical Attack,2014,1/23/2014,1/24/2014,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",21:17:00,17:00:00,,
95,95,95,Severe Weather,2014,1/23/2014,1/24/2014,Tennessee Valley Authority,Tennessee,SERC,"severe weather, cold",16:00:00,12:00:00,,
96,96,96,Severe Weather,2014,1/23/2014,1/24/2014,Memphis Light Gas and Water Division,Tennessee,SERC,"severe weather, cold",04:00:00,12:00:00,,
97,97,97,Severe Weather,2014,1/23/2014,1/24/2014,PJM Interconnection,Maryland,RFC,"severe weather, cold",13:04:00,09:00:00,,
98,98,98,Physical Attack,2014,1/22/2014,1/22/2014,Duke Energy Midwest,Ohio,RFC,"vandalism, physical",09:45:00,20:19:00,,
99,99,99,Physical Attack,2014,1/22/2014,1/22/2014,Madison Gas and Electric,Wisconsin,MRO,"vandalism, physical",13:55:00,14:55:00,,
100,100,100,Physical Attack,2014,1/22/2014,1/23/2014,Public Service Electric &Gas,New Jersey,RFC,"vandalism, physical",21:15:00,03:08:00,,
101,101,101,Physical Attack,2014,1/22/2014,1/22/2014,Madison Gas and Electric,Wisconsin,MRO,"vandalism, physical",00:30:00,02:45:00,,
102,102,102,Physical Attack,2014,1/21/2014,Unknown,Public Service Electric &Gas,New Jersey,RFC,"vandalism, physical",17:00:00,,,
103,103,103,Physical Attack,2014,1/21/2014,1/21/2014,Ameren Missouri,Missouri,SERC,"vandalism, physical",12:14:00,12:39:00,,10.0
104,104,104,Electrical System Separation,2014,1/18/2014,Unknown,First Energy Solutions Corp.,Unknown,RFC,islanding,17:39:00,,,
