id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
30,Severe Weather,2014,5/9/2014,5/11/2014,Vectren Energy Delivery of Indiana,Indiana,RFC,"severe weather, wind",18:00:00,13:00:00,56000.0,
31,Physical Attack,2014,5/8/2014,5/8/2014,"CSolar IV South, LLC","Imperial Valley, California",WECC,"vandalism, physical",08:39:00,08:40:00,,
32,Physical Attack,2014,5/8/2014,5/8/2014,Clarksdale Public Utilities,Mississippi,SERC,"vandalism, physical",01:00:00,01:01:00,,
33,Severe Weather,2014,4/30/2014,4/30/2014,Southern Company,"Alabama, Florida, Georgia",SERC,"severe weather, thunderstorm",03:50:00,14:00:00,89000.0,296.0
34,Severe Weather,2014,4/29/2014,4/29/2014,Southern Company,"Mississippi, Alabama",SERC,"severe weather, thunderstorm",23:30:00,12:30:00,106648.0,355.0
35,Severe Weather,2014,4/29/2014,5/1/2014,Tennessee Valley Authority,"Northeastern Mississippi, Northern Alabama",SERC,"severe weather, thunderstorm",09:37:00,09:00:00,57000.0,
36,Electrical System Separation,2014,4/27/2014,Unknown,Peak Reliability,"Alberta, Canada",WECC,islanding,09:15:00,,4000000.0,9750.0
37,Physical Attack,2014,4/27/2014,4/27/2014,PacifiCorp,"Albany, Oregon",WECC,"vandalism, physical",12:07:00,12:09:00,,
38,Physical Attack,2014,4/25/2014,4/25/2014,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",07:00:00,07:30:00,,
39,Electrical System Separation,2014,4/24/2014,4/24/2014,Peak Reliability,"Alberta, Canada",WECC,islanding,15:02:00,17:13:00,,
40,Load Shedding,2014,4/23/2014,4/23/2014,MISO / Entergy Transmission,"Baton Rouge, Louisiana",SERC,load shedding,19:45:00,20:37:00,28000.0,163.0
41,Severe Weather,2014,4/12/2014,4/15/2014,Detroit Edison Company,Michigan,RFC,severe weather,20:00:00,19:30:00,164000.0,
42,Severe Weather,2014,4/12/2014,4/14/2014,Consumers Energy,Western and Central Michigan,RFC,"severe weather, thunderstorm",18:15:00,09:00:00,50000.0,
43,Physical Attack,2014,4/8/2014,4/8/2014,"Western Area Power Administration, Sierra Nevada Region","Davis, California",WECC,"vandalism, physical",13:00:00,13:01:00,,
44,Voltage Reduction,2014,4/8/2014,4/8/2014,Puerto Rico Electric Power Authority,Puerto Rico,PR,voltage reduction,11:09:00,11:20:00,,
45,Severe Weather,2014,4/4/2014,4/4/2014,"Entergy Services, Inc.",Central Arkansas,SERC,"severe weather, wind",03:30:00,08:15:00,57200.0,
46,Fuel Supply,2014,4/3/2014,Unknown,City of Garland / Texas Municipal Power Agency,Texas,TRE,"fuel supply emergency, coal",00:00:00,,,
47,Fuel Supply,2014,4/3/2014,4/9/2014,We Energies,Wisconsin,MRO,"fuel supply emergency, coal",14:45:00,11:53:00,,
48,Voltage Reduction,2014,3/31/2014,3/31/2014,Puerto Rico Electric Power Authority,Puerto Rico,PR,voltage reduction,15:41:00,20:08:00,,
49,Electrical System Separation,2014,3/26/2014,3/26/2014,Peak Reliability,Montana,WECC,islanding,13:37:00,14:33:00,,
50,Physical Attack,2014,3/26/2014,4/10/2014,ITC Midwest LLC,Iowa,MRO,"vandalism, physical",16:00:00,12:00:00,,
51,Physical Attack,2014,3/24/2014,3/24/2014,PacifiCorp,"Salt Lake City, Utah",WECC,"vandalism, physical",11:07:00,11:08:00,,
52,Cyber Attack,2014,3/20/2014,3/20/2014,NRG Energy Inc 2,New York,NPCC,"vandalism, cyber",00:00:00,00:01:00,,
53,Physical Attack,2014,3/17/2014,3/18/2014,Arizona Public Service Co,"Glendale, Arizona",WECC,vandalism,17:25:00,00:56:00,,
54,Physical Attack,2014,3/14/2014,3/14/2014,ITC Holdings,"Boone County, Iowa",MRO,"vandalism, physical",12:34:00,16:45:00,,
55,Severe Weather,2014,3/12/2014,3/13/2014,Duke Energy Carolinas,North Carolina,SERC,"severe weather, wind",19:35:00,12:00:00,61377.0,250.0
56,Physical Attack,2014,3/11/2014,3/13/2014,ITC Midwest LLC,"Boone County, Iowa",MRO,"vandalism, physical",00:00:00,00:00:00,,
57,Severe Weather,2014,3/7/2014,3/7/2014,Duke Energy Carolinas,"Triad, North Carolina",SERC,"severe weather, winter storm",03:30:00,21:00:00,370900.0,1500.0
58,Physical Attack,2014,3/5/2014,3/5/2014,PacifiCorp,"Salt Lake City, Utah",WECC,"vandalism, physical",17:06:00,17:07:00,,
